JobTitle,Location,ExperienceRequired,SkillsRequired,Salary,JobURL,JobDescriptionSummary
Architecture,Not Specified,Not Specified,AutoCAD,"₹ 8,000 /month",https://internshala.com/internship/detail/architecture-internship-in-lucknow-at-shams-uddin1774360688,"Selected intern's day-to-day responsibilities include: 

1.  Participate in architectural design processes, including conceptualization, schematic design, and design development.
2.  Assist in project management tasks, such as scheduling, budgeting, "
Video Editing/Making,Not Specified,Not Specified,Video Editing,"₹ 10,000 - 20,000 /month",https://internshala.com/internship/detail/video-editing-making-internship-in-mumbai-at-lensable-productions1774510039,"Photowalks Mumbai is looking for a passionate videographer & editor intern to join our creative team! If you have a flair for storytelling through visuals and love capturing the vibe of events, workshops, and shoots, we want to hear from you!

Select"
Recruitment Consultant,Not Specified,Not Specified,Client Relationship,"₹ 8,000 - 10,000 /month",https://internshala.com/internship/detail/recruitment-consultant-internship-in-gurgaon-at-p-m1773464397,"Selected intern's day-to-day responsibilities include: 

1. Source resumes from job portals
2. Call screen and shortlist candidates
3. Manage client relationships and communications
4. Create and publish job posts on social media"
Marketing,Not Specified,Not Specified,Email Marketing,"₹ 8,000 - 10,000 /month",https://internshala.com/internship/detail/marketing-internship-in-mumbai-at-fusion-clothing-company1774506693,"Job Description:

1. Scouting new brands and leads online from LinkedIn, company websites and other sources, tabulating data accurately. 
2. Sending personalized emailers as per guidance given.
2. Working on new product and brand research in sustaina"
HR  – Talent Acquisition,Not Specified,Not Specified,Team Management,"₹ 12,000 - 15,000 /month",https://internshala.com/internship/detail/hr--talent-acquisition-internship-in-noida-at-wireworks-division-of-infinity-power-private-limited1774412099,"The HR Intern will support the Talent Acquisition team in day-to-day recruitment activities including sourcing, screening, interview coordination, and maintaining recruitment trackers. The role will provide hands-on exposure to recruitment operations"
Graphic Design,Not Specified,Not Specified,Adobe Illustrator,"₹ 12,000 - 15,000 /month",https://internshala.com/internship/detail/graphic-design-internship-in-mumbai-at-bombay-social-company1774363438,"Are you a talented graphic design student looking to gain hands-on experience in a fast-paced and creative environment? Join Bombay Social Company as a Graphic Design intern! Show off your skills in Adobe Illustrator, Adobe Creative Suite, and Adobe "
Artificial Intelligence (AI),Not Specified,Not Specified,Data Structures,"₹ 6,000 - 8,000 /month",https://internshala.com/internship/detail/part-time-artificial-intelligence-ai-internship-in-surat-at-raviraj-sarees-pvt-ltd1774093623,"As an Artificial Intelligence intern at Raviraj Sarees Pvt Ltd, you will have the opportunity to work with cutting-edge technology in the fashion industry. Your role will involve utilizing your knowledge of AI and data structures to drive innovation "
Content and Social Media Marketing,Not Specified,Not Specified,Content Writing,"₹ 12,000 - 13,000 /month",https://internshala.com/internship/detail/content-and-social-media-marketing-internship-in-kolkata-at-piyush-khandelia1774356045,"1.Creating and managing content for social media platforms.
2.Planning, scheduling, and publishing posts as per the content calendar.
3.Writing engaging captions, copies, and promotional content.
4.Monitoring social media trends and suggesting creati"
Video Editing/Making,Not Specified,Not Specified,Video Editing,"₹ 5,000 - 10,000 /month",https://internshala.com/internship/detail/part-time-video-editing-making-internship-in-mumbai-at-shs-advisory1774430957,"Selected intern's day-to-day responsibilities include: 

1. Shooting a video as per their creativity, we will provide the site/location
2. Editing the video - AI, other editing techniques allowed
3. Uploading on the AIM Oasis platform"
Sales,Not Specified,Not Specified,Client Interaction,"₹ 10,000 - 20,000 /month",https://internshala.com/internship/detail/work-from-home-sales-internship-at-ruchira-singh1774517747,"For a  Luxury Sales Acquisition Intern  in a startup, the role is a hybrid of high-touch relationship management and high-energy lead generation.

Selected intern's day-to-day responsibilities include:

1. Relationship Building (Clienteling):  Abilit"
